time,voltage
0,1550
5.556,1520
9.213,1500
13.165,1480
19.551,1450
25.647,1420
30.011,1400
34.581,1380
39.321,1360
44.083,1340
48.475,1320
52.915,1300
58.383,1280
63.448,1260
68.591,1240
73.583,1220
79.082,1200
84.737,1180
92.599,1150
101.084,1120
107.028,1100
112.707,1080
118.707,1060
124.817,1040
131.224,1020
137.045,1000
143.721,980
149.825,960
156.627,940
163.381,920
170.305,900
177.2,880
184.158,860
191.579,840
199.07,820
206.37,800
213.682,780
221.681,760
229.536,740
237.714,720
245.655,700